"data","atendimento","admissao","alta","pc","pn","wc","transf","lua"
2011-02-01,13,8,2,3,2,0,0,0
2011-02-02,7,2,4,2,1,0,0,0
2011-02-03,7,2,5,1,2,0,0,1
2011-02-04,11,1,3,1,0,0,0,0
2011-02-05,13,8,4,5,3,0,0,0
2011-02-06,13,3,3,0,3,0,0,0
2011-02-07,14,9,6,4,6,0,0,0
2011-02-08,13,5,4,1,2,0,0,0
2011-02-09,14,7,5,4,2,0,0,0
2011-02-10,12,3,4,1,1,0,0,0
2011-02-11,7,3,11,1,1,1,0,2
2011-02-12,11,5,6,2,2,1,0,0
2011-02-13,10,6,3,2,2,0,0,0
2011-02-14,16,7,5,4,3,1,0,0
2011-02-15,20,13,3,8,3,0,0,0
2011-02-16,2,1,0,1,0,0,0,0
2011-02-17,16,6,7,2,2,0,0,0
2011-02-18,14,4,6,1,5,1,0,4
2011-02-19,9,4,7,3,2,0,0,0
2011-02-20,11,6,2,4,2,0,0,0
2011-02-21,17,4,5,4,1,0,0,0
2011-02-22,10,1,7,4,2,0,0,0
2011-02-23,8,4,3,1,2,0,0,0
2011-02-24,9,5,5,2,2,0,0,3
2011-02-25,23,10,3,3,4,2,0,0
2011-02-26,5,3,3,0,1,0,0,0
2011-02-27,11,3,9,1,2,0,0,0
2011-02-28,4,1,3,0,1,0,0,0
2011-03-01,11,2,5,0,1,0,1,0
2011-03-02,17,4,4,2,3,0,0,0
2011-03-03,9,4,0,1,2,0,0,0
2011-03-04,7,3,4,2,3,0,1,1
2011-03-05,7,3,4,1,3,0,0,0
2011-03-06,13,6,3,4,2,0,0,0
2011-03-07,15,5,0,0,6,0,0,0
2011-03-08,7,3,1,1,0,0,0,0
2011-03-09,19,6,7,3,3,0,0,0
2011-03-10,12,10,7,2,2,0,1,0
2011-03-11,15,1,3,0,2,0,0,0
2011-03-12,16,3,5,0,3,0,0,2
2011-03-13,18,8,7,4,2,0,0,0
2011-03-14,15,9,2,3,2,1,0,0
2011-03-15,20,9,6,1,7,1,0,0
2011-03-16,10,8,7,1,2,0,1,0
2011-03-17,9,8,9,3,2,2,0,0
2011-03-18,10,5,8,0,5,1,0,0
2011-03-19,8,3,5,3,0,1,0,4
2011-03-20,7,3,4,2,1,0,0,0
2011-03-21,18,9,5,5,5,0,2,0
2011-03-22,13,4,2,2,1,0,0,0
2011-03-23,6,2,5,0,4,0,0,0
2011-03-24,13,2,8,1,1,0,0,0
2011-03-25,14,4,0,1,3,0,0,0
2011-03-26,13,6,3,2,5,0,0,3
2011-03-27,8,6,3,2,2,0,0,0
2011-03-28,14,5,9,2,5,0,0,0
2011-03-29,11,5,4,0,6,0,0,0
2011-03-30,7,6,7,1,3,0,0,0
2011-03-31,15,8,6,3,3,0,0,0
2011-04-01,10,4,0,1,3,1,0,0
2011-04-02,14,5,5,4,1,0,0,0
2011-04-03,8,2,6,0,1,1,1,1
2011-04-04,15,6,8,6,2,1,0,0
2011-04-05,8,1,2,1,0,0,0,0
2011-04-06,10,4,4,1,2,0,0,0
2011-04-07,10,6,1,2,4,0,0,0
2011-04-08,9,3,0,2,2,0,0,0
2011-04-09,15,8,5,3,4,0,0,0
2011-04-10,6,5,3,1,3,0,0,0
2011-04-11,10,4,1,0,3,0,0,2
2011-04-12,13,4,5,2,2,0,1,0
2011-04-13,9,1,3,0,2,0,0,0
2011-04-14,22,5,3,3,3,0,1,0
2011-04-15,16,5,8,2,2,0,0,0
2011-04-16,14,7,5,2,5,1,1,0
2011-04-17,5,2,4,0,1,0,0,0
2011-04-18,14,4,3,2,3,0,0,4
2011-04-19,7,4,3,1,1,0,0,0
2011-04-20,16,5,3,1,2,1,0,0
2011-04-21,12,8,7,4,4,0,0,0
2011-04-22,16,6,4,4,3,1,0,0
2011-04-23,4,1,6,1,0,0,0,0
2011-04-24,13,6,7,1,3,0,0,0
2011-04-25,15,6,5,3,5,0,0,3
2011-04-26,12,4,1,2,2,0,0,0
2011-04-27,14,4,0,2,2,0,0,0
2011-04-28,10,5,10,0,0,0,0,0
2011-04-29,15,3,4,0,4,1,0,0
2011-04-30,10,5,0,3,4,0,0,0
2011-05-01,9,5,3,1,2,0,1,0
2011-05-02,11,4,6,1,4,0,0,0
2011-05-03,11,1,7,1,2,0,0,1
2011-05-04,18,7,5,2,3,2,1,0
2011-05-05,4,1,0,0,1,0,0,0
2011-05-06,9,2,4,0,3,0,0,0
2011-05-07,7,2,1,1,0,0,0,0
2011-05-08,2,1,4,1,2,1,0,0
2011-05-09,16,5,1,2,2,0,0,2
2011-05-10,17,8,4,2,5,0,0,0
2011-05-11,14,6,1,1,1,0,0,0
2011-05-12,10,3,6,3,1,0,0,0
2011-05-13,10,4,5,0,3,0,0,0
2011-05-14,2,1,8,1,1,0,0,0
2011-05-15,9,3,0,0,0,0,0,0
2011-05-16,6,3,2,2,4,0,0,0
2011-05-17,9,3,4,1,2,0,0,4
2011-05-18,16,5,1,5,1,0,0,0
2011-05-19,8,3,3,2,3,0,0,0
2011-05-20,15,8,9,3,4,0,0,0
2011-05-21,13,8,3,2,4,0,0,0
2011-05-22,7,2,5,0,0,0,0,0
2011-05-23,7,6,0,2,3,0,0,0
2011-05-24,14,6,5,1,4,0,0,3
2011-05-25,2,1,3,1,2,0,0,0
2011-05-26,7,4,7,0,2,1,0,0
2011-05-27,15,5,5,3,3,0,0,0
2011-05-28,7,2,0,1,2,0,0,0
2011-05-29,2,1,2,0,0,0,0,0
2011-05-30,17,6,6,5,2,0,0,0
2011-05-31,11,5,1,0,2,0,0,0
2011-06-01,20,8,5,3,6,2,0,1
2011-06-02,13,6,3,2,2,0,0,0
2011-06-03,13,5,10,0,4,0,0,0
2011-06-04,5,2,0,1,1,0,0,0
2011-06-05,10,2,7,0,2,0,0,0
2011-06-06,10,4,4,0,4,0,0,0
2011-06-07,13,6,3,2,1,0,0,0
2011-06-08,11,6,0,3,2,0,0,0
2011-06-09,4,1,3,2,2,0,0,2
2011-06-10,6,6,2,0,2,0,0,0
2011-06-11,10,2,4,2,0,0,0,0
2011-06-12,14,4,5,4,1,0,0,0
2011-06-13,6,3,0,2,1,0,0,0
2011-06-14,11,3,3,2,2,0,0,0
2011-06-15,18,6,6,0,3,0,0,4
2011-06-16,3,2,0,1,1,0,0,0
2011-06-17,16,9,1,1,4,0,1,0
2011-06-18,11,6,5,2,3,2,0,0
2011-06-19,5,3,7,2,2,0,0,0
2011-06-20,14,9,7,4,4,0,0,0
2011-06-21,7,2,5,2,0,0,0,0
2011-06-22,5,2,3,1,1,0,0,0
2011-06-23,10,3,10,0,0,0,0,3
2011-06-24,7,2,0,0,5,0,0,0
2011-06-25,11,7,0,5,2,0,0,0
2011-06-26,7,3,3,2,0,0,0,0
2011-06-27,9,2,6,3,1,0,0,0
2011-06-28,3,2,1,1,1,0,0,0
2011-06-29,14,5,4,3,2,0,0,0
2011-06-30,16,8,6,2,4,0,0,0
